date,Constituent Ticker,Weight,Shares Held,Market Value,price,ret,label,portfolio_ret,portfolio_cum_ret
2017-06-05,RLJ,0.0169664921,5333.0,110286.44,20.68,-0.0053,Green,0.017199999999999997,0.03313225091851435
2017-06-05,PEB,0.014903233,3099.0,96874.74,31.26,-0.0361,Green,0.017199999999999997,0.03313225091851435
2017-06-05,DRH,0.014644126,8568.0,95190.48,11.11,-0.0027,Green,0.017199999999999997,0.03313225091851435
2017-06-05,XHR,0.0132372786,4594.0,86045.62,18.73,0.0464,Green,0.017199999999999997,0.03313225091851435
2017-06-05,IRT,0.00390025,2548.0,25352.6,9.95,0.0803,Green,0.017199999999999997,0.03313225091851435
2017-06-12,AIV,0.0455618766,6730.0,297129.5,44.15,0.0025,Green,0.026,0.0599936894423958
2017-06-12,RLJ,0.0172793305,5333.0,112686.29,21.13,0.0218,Green,0.026,0.0599936894423958
2017-06-12,PEB,0.0153917626,3099.0,100376.61,32.39,0.0361,Green,0.026,0.0599936894423958
2017-06-12,DRH,0.0150957716,8568.0,98446.32,11.49,0.0342,Green,0.026,0.0599936894423958
2017-06-12,XHR,0.0138986912,4594.0,90639.62,19.73,0.0534,Green,0.026,0.0599936894423958
2017-06-12,IRT,0.0039188279,2548.0,25556.44,10.03,0.008,Green,0.026,0.0599936894423958
2017-06-19,AIV,0.0429207315,6396.0,286029.12,44.72,0.0129,Green,0.0146,0.07546959730825464
2017-06-19,RLJ,0.0163370765,5078.0,108872.32,21.44,0.0147,Green,0.0146,0.07546959730825464
2017-06-19,DRH,0.0142737839,8158.0,95122.28,11.66,0.0148,Green,0.0146,0.07546959730825464
2017-06-19,PEB,0.0142370034,2833.0,94877.17,33.49,0.034,Green,0.0146,0.07546959730825464
2017-06-19,XHR,0.0130615047,4350.0,87043.5,20.01,0.0142,Green,0.0146,0.07546959730825464
2017-06-19,IRT,0.0036268827,2417.0,24170.0,10.0,-0.003,Green,0.0146,0.07546959730825464
2017-06-26,AIV,0.0424372145,6361.0,278357.36,43.76,-0.0215,Green,-0.012133333333333335,0.06242056619424785
2017-06-26,RLJ,0.016037062,5050.0,105191.5,20.83,-0.0285,Green,-0.012133333333333335,0.06242056619424785
2017-06-26,DRH,0.0142841396,8112.0,93693.6,11.55,-0.0094,Green,-0.012133333333333335,0.06242056619424785
2017-06-26,PEB,0.0142626388,2817.0,93552.57,33.21,-0.0084,Green,-0.012133333333333335,0.06242056619424785
2017-06-26,XHR,0.0132437655,4350.0,86869.5,19.97,-0.002,Green,-0.012133333333333335,0.06242056619424785
2017-06-26,IRT,0.0036738039,2417.0,24097.49,9.97,-0.003,Green,-0.012133333333333335,0.06242056619424785
2017-07-03,AIV,0.0417446556,6314.0,272638.52,43.18,-0.0133,Green,-0.007483333333333332,0.05447011895722764
2017-07-03,RLJ,0.0156428381,5013.0,102164.94,20.38,-0.0216,Green,-0.007483333333333332,0.05447011895722764
2017-07-03,PEB,0.0143809251,2797.0,93923.26,33.58,0.0111,Green,-0.007483333333333332,0.05447011895722764
2017-07-03,DRH,0.0140687985,8053.0,91884.73,11.41,-0.0121,Green,-0.007483333333333332,0.05447011895722764
2017-07-03,XHR,0.0129718761,4294.0,84720.62,19.73,-0.012,Green,-0.007483333333333332,0.05447011895722764
2017-07-03,IRT,0.0037007548,2417.0,24170.0,10.0,0.003,Green,-0.007483333333333332,0.05447011895722764
2017-07-10,AIV,0.0425441811,6314.0,268913.26,42.59,-0.0137,Green,-0.028766666666666663,0.024136528535224855
2017-07-10,RLJ,0.0153226111,5013.0,96851.16,19.32,-0.052,Green,-0.028766666666666663,0.024136528535224855
2017-07-10,DRH,0.0142056306,8053.0,89790.95,11.15,-0.0228,Green,-0.028766666666666663,0.024136528535224855
2017-07-10,PEB,0.0141469577,2797.0,89420.09,31.97,-0.0479,Green,-0.028766666666666663,0.024136528535224855
2017-07-10,XHR,0.0132404221,4294.0,83690.06,19.49,-0.0122,Green,-0.028766666666666663,0.024136528535224855
2017-07-10,IRT,0.0037321099,2417.0,23589.92,9.76,-0.024,Green,-0.028766666666666663,0.024136528535224855
2017-07-17,AIV,0.0426132901,6354.0,277225.02,43.63,0.0244,Green,0.0507,0.07606025053196075
2017-07-17,RLJ,0.0164505088,5041.0,107020.43,21.23,0.0989,Green,0.0507,0.07606025053196075
2017-07-17,DRH,0.0147274917,8099.0,95811.17,11.83,0.061,Green,0.0507,0.07606025053196075
2017-07-17,PEB,0.0145242053,2813.0,94488.67,33.59,0.0507,Green,0.0507,0.07606025053196075
2017-07-17,XHR,0.013319743,4294.0,86652.92,20.18,0.0354,Green,0.0507,0.07606025053196075
2017-07-17,IRT,0.003748698,2417.0,24387.53,10.09,0.0338,Green,0.0507,0.07606025053196075
2017-07-24,AIV,0.0427092288,6354.0,277542.72,43.68,0.0011,Green,-0.010783333333333334,0.06445673416372433
2017-07-24,RLJ,0.0164066139,5041.0,106617.15,21.15,-0.0038,Green,-0.010783333333333334,0.06445673416372433
2017-07-24,DRH,0.0143573989,8099.0,93300.48,11.52,-0.0262,Green,-0.010783333333333334,0.06445673416372433
2017-07-24,PEB,0.0139472041,2813.0,90634.86,32.22,-0.0408,Green,-0.010783333333333334,0.06445673416372433
2017-07-24,XHR,0.0132419409,4294.0,86051.76,20.04,-0.0069,Green,-0.010783333333333334,0.06445673416372433
2017-07-24,IRT,0.0037974694,2417.0,24677.57,10.21,0.0119,Green,-0.010783333333333334,0.06445673416372433
2017-07-31,AIV,0.0441632099,6354.0,289424.7,45.55,0.0428,Green,0.017899999999999996,0.08351050970525509
2017-07-31,RLJ,0.0162763642,5041.0,106667.56,21.16,0.0005,Green,0.017899999999999996,0.08351050970525509
2017-07-31,PEB,0.0144523306,2813.0,94713.71,33.67,0.045,Green,0.017899999999999996,0.08351050970525509
2017-07-31,DRH,0.0144344181,8099.0,94596.32,11.68,0.0139,Green,0.017899999999999996,0.08351050970525509
2017-07-31,XHR,0.0133140684,4294.0,87254.08,20.32,0.014,Green,0.017899999999999996,0.08351050970525509
2017-07-31,IRT,0.0037323486,2417.0,24460.04,10.12,-0.0088,Green,0.017899999999999996,0.08351050970525509
2017-08-07,AIV,0.04467507,6354.0,289742.4,45.6,0.0011,Green,-0.0117,0.07083343674170361
2017-08-07,RLJ,0.0159417335,5041.0,103390.91,20.51,-0.0307,Green,-0.0117,0.07083343674170361
2017-08-07,DRH,0.0145107786,8099.0,94110.38,11.62,-0.0051,Green,-0.0117,0.07083343674170361
2017-08-07,PEB,0.0142568186,2813.0,92463.31,32.87,-0.0238,Green,-0.0117,0.07083343674170361
2017-08-07,XHR,0.0132417451,4294.0,85880.0,20.0,-0.0157,Green,-0.0117,0.07083343674170361
2017-08-07,IRT,0.0037863743,2417.0,24556.72,10.16,0.004,Green,-0.0117,0.07083343674170361
2017-08-14,AIV,0.0452659889,6354.0,293427.72,46.18,0.0127,Green,-0.007966666666666667,0.06230246369566128
