date,label,NAV,cum_fundflow
2017-04-03,Green,6292825.0,0.0
2017-04-03,Traditional,34198588680.0,-140422350.0
2017-04-03,Green,6329300.0,0.0
2017-04-03,Traditional,34086809800.0,-256315510.0
2017-04-03,Green,6340950.0,0.0
2017-04-03,Traditional,34094845040.000004,-281170510.0
2017-04-03,Green,6386450.0,0.0
2017-04-03,Traditional,34288158600.000004,-281087580.0
2017-04-03,Green,6361550.0,0.0
2017-04-03,Traditional,34408754630.0,-189347580.0
2017-04-10,Green,6396325.0,0.0
2017-04-10,Traditional,34681467450.0,33388000.0
2017-04-10,Green,6432525.0,0.0
2017-04-10,Traditional,34950310560.0,58603000.0
2017-04-10,Green,6392050.0,0.0
2017-04-10,Traditional,34880112630.0,58603000.0
2017-04-10,Green,6385300.0,0.0
2017-04-10,Traditional,34713425370.0,-25698060.0
2017-04-17,Green,6474300.0,0.0
2017-04-17,Traditional,35120654300.0,-16854000.0
2017-04-17,Green,6499225.0,0.0
2017-04-17,Traditional,35206799430.0,-25384000.0
2017-04-17,Green,6497550.0,0.0
2017-04-17,Traditional,35149171090.0,-25384000.0
2017-04-17,Green,6495525.0,0.0
2017-04-17,Traditional,35161605440.0,-25298610.0
2017-04-17,Green,6472275.0,0.0
2017-04-17,Traditional,35013417920.0,-25298610.0
2017-04-24,Green,6452475.0,0.0
2017-04-24,Traditional,34647065440.0,0.0
2017-04-24,Green,6504775.0,0.0
2017-04-24,Traditional,34710565150.0,-92502830.0
2017-04-24,Green,6500825.0,0.0
2017-04-24,Traditional,34348103730.0,-151687830.0
2017-04-24,Green,6440800.0,0.0
2017-04-24,Traditional,34266054420.0,-159985020.0
2017-04-24,Green,6347425.0,0.0
2017-04-24,Traditional,33892946520.0,-185074020.0
2017-05-01,Green,6373050.0,0.0
2017-05-01,Traditional,34168473150.000004,66306780.0
2017-05-01,Green,6356150.0,0.0
2017-05-01,Traditional,34181670600.0,132938780.0
2017-05-01,Green,6314100.0,0.0
2017-05-01,Traditional,33737738100.0,141254780.0
2017-05-01,Green,6325300.0,0.0
2017-05-01,Traditional,33552894450.0,116636780.0
2017-05-01,Green,6369875.0,0.0
2017-05-01,Traditional,33819898600.0,100302780.0
2017-05-08,Green,6319675.0,0.0
2017-05-08,Traditional,33581791700.0,-16472000.0
2017-05-08,Green,6284700.0,0.0
2017-05-08,Traditional,33376786300.0,-41018000.0
2017-05-08,Green,6309350.0,0.0
2017-05-08,Traditional,33667975350.000004,-8466000.0
2017-05-08,Green,6278075.0,0.0
2017-05-08,Traditional,33483336000.0,-24868000.0
2017-05-08,Green,6256275.0,0.0
2017-05-08,Traditional,33360398100.0,-24704800.0
2017-05-15,Green,6281650.0,0.0
2017-05-15,Traditional,33458878980.000004,0.0
2017-05-15,Green,6247600.0,0.0
2017-05-15,Traditional,33208685150.0,-8154000.0
2017-05-15,Green,6275000.0,0.0
2017-05-15,Traditional,33331918750.0,-7992100.0
2017-05-15,Green,6344500.0,0.0
2017-05-15,Traditional,33561597030.0,8257900.0
2017-05-15,Green,6361675.0,0.0
2017-05-15,Traditional,33812071360.0,65496900.0
2017-05-22,Green,6400275.0,0.0
2017-05-22,Traditional,33964416400.000004,41202240.0
2017-05-22,Green,6410100.0,0.0
2017-05-22,Traditional,34005550200.0,32951240.0
2017-05-22,Green,6450525.0,0.0
2017-05-22,Traditional,34269120200.0,49477240.0
2017-05-22,Green,6424075.0,0.0
2017-05-22,Traditional,34264913600.0,41154240.0
2017-05-22,Green,6409725.0,0.0
2017-05-22,Traditional,34017929600.0,41154240.0
2017-05-22,Green,6381600.0,0.0
2017-05-22,Traditional,33820506720.0,41319520.0
2017-05-22,Green,6396175.0,0.0
2017-05-22,Traditional,33853438080.0,41319520.0
2017-05-22,Green,6401600.0,0.0
2017-05-22,Traditional,33935454880.0,-40920480.0
2017-05-22,Green,6492300.0,0.0
2017-05-22,Traditional,34201248210.0,-115213840.0
2017-06-05,Green,6500250.0,0.0
2017-06-05,Traditional,34061935590.0,0.0
2017-06-05,Green,6433400.0,0.0
2017-06-05,Traditional,33852491820.0,-49878000.0
2017-06-05,Green,6478875.0,0.0
2017-06-05,Traditional,33973659600.0,-149000520.0
2017-06-05,Green,6500150.0,0.0
2017-06-05,Traditional,33903996750.000004,-165656520.0
2017-06-05,Green,6524300.0,0.0
2017-06-05,Traditional,34132333950.0,-165656520.0
2017-06-12,Green,6521450.0,0.0
2017-06-12,Traditional,34346158000.000004,-66968000.0
2017-06-12,Green,6556425.0,0.0
2017-06-12,Traditional,34419171600.0,-75323600.0
2017-06-12,Green,6560250.0,0.0
2017-06-12,Traditional,34530388340.0,-41483600.0
2017-06-12,Green,6595600.0,0.0
2017-06-12,Traditional,34655521360.0,-66920600.0
2017-06-12,Green,6640875.0,0.0
2017-06-12,Traditional,34553430780.0,-75436600.0
2017-06-19,Green,6664125.0,0.0
2017-06-19,Traditional,34582713120.0,17070930.0
2017-06-19,Green,6642325.0,0.0
2017-06-19,Traditional,34577268660.0,85038930.0
2017-06-19,Green,6609000.0,0.0
2017-06-19,Traditional,34458400910.0,68082930.0
2017-06-19,Green,6582525.0,0.0
2017-06-19,Traditional,34482551670.0,59629930.0
2017-06-19,Green,6605675.0,0.0
2017-06-19,Traditional,34652627520.0,414991930.0
2017-06-26,Green,6559275.0,0.0
2017-06-26,Traditional,34879088370.0,0.0
2017-06-26,Green,6506975.0,0.0
2017-06-26,Traditional,34624777590.0,50826000.0
2017-06-26,Green,6502975.0,0.0
2017-06-26,Traditional,34345570050.000004,-301848000.0
2017-06-26,Green,6464900.0,0.0
2017-06-26,Traditional,33978404250.0,-301679700.0
2017-06-26,Green,6444100.0,0.0
2017-06-26,Traditional,33953998500.0,-301596450.0
2017-07-03,Green,6531100.0,0.0
2017-07-03,Traditional,34453105830.0,33359190.0
2017-07-03,Green,6504125.0,0.0
2017-07-03,Traditional,33996096630.0,67091190.0
2017-07-03,Green,6375025.0,0.0
2017-07-03,Traditional,33439659050.0,158534190.0
2017-07-03,Green,6398375.0,0.0
2017-07-03,Traditional,33669299570.0,174844190.0
2017-07-10,Green,6320800.0,0.0
2017-07-10,Traditional,33271781200.0,-41035000.0
2017-07-10,Green,6327525.0,0.0
2017-07-10,Traditional,33259488670.0,-41035000.0
2017-07-10,Green,6383525.0,0.0
2017-07-10,Traditional,33677474650.000004,-24801000.0
2017-07-10,Green,6376050.0,0.0
2017-07-10,Traditional,33767759810.0,-156000.0
2017-07-10,Green,6426450.0,0.0
2017-07-10,Traditional,34100063120.0,-156000.0
2017-07-17,Green,6505600.0,0.0
2017-07-17,Traditional,34379624480.0,25019120.0
2017-07-17,Green,6490725.0,0.0
2017-07-17,Traditional,34351335720.0,50141120.0
2017-07-17,Green,6550200.0,0.0
2017-07-17,Traditional,34618596480.0,58502120.0
2017-07-17,Green,6501275.0,0.0
2017-07-17,Traditional,34480431800.0,101380280.0
2017-07-17,Green,6517950.0,0.0
2017-07-17,Traditional,34493358750.0,134900280.0
2017-07-24,Green,6498425.0,0.0
2017-07-24,Traditional,34464902820.0,25125000.0
2017-07-24,Green,6483250.0,0.0
2017-07-24,Traditional,34535820000.0,42434340.0
2017-07-24,Green,6506725.0,0.0
2017-07-24,Traditional,34754192400.0,34059340.0
2017-07-24,Green,6477475.0,0.0
2017-07-24,Traditional,34812487840.0,59349340.0
2017-07-24,Green,6542250.0,0.0
2017-07-24,Traditional,34730395140.0,59771240.0
2017-07-31,Green,6553525.0,0.0
2017-07-31,Traditional,34729877520.0,-25254000.0
2017-07-31,Green,6557625.0,0.0
2017-07-31,Traditional,34924515990.0,8442000.0
2017-07-31,Green,6515325.0,0.0
2017-07-31,Traditional,34627526970.0,16905000.0
2017-07-31,Green,6460325.0,0.0
2017-07-31,Traditional,34549183800.0,16988890.0
2017-07-31,Green,6484650.0,0.0
2017-07-31,Traditional,34677287260.0,25358890.0
2017-08-07,Green,6485550.0,0.0
2017-08-07,Traditional,34631738600.0,-8399000.0
2017-08-07,Green,6448725.0,0.0
2017-08-07,Traditional,34474884480.0,-8399000.0
2017-08-07,Green,6411325.0,0.0
2017-08-07,Traditional,34359237240.000004,-16751000.0
2017-08-07,Green,6406600.0,0.0
2017-08-07,Traditional,34078587360.0,-41729000.0
2017-08-07,Green,6387350.0,0.0
2017-08-07,Traditional,33823092880.0,-83049000.0
2017-08-14,Green,6482300.0,0.0
2017-08-14,Traditional,34382891960.0,-24636000.0
2017-08-14,Green,6476475.0,0.0
2017-08-14,Traditional,34238658020.0,-41344000.0
2017-08-14,Green,6479725.0,0.0
2017-08-14,Traditional,34370628250.0,-24614770.0
2017-08-14,Green,6461375.0,0.0
2017-08-14,Traditional,34152493500.0,-24614770.0
2017-08-14,Green,6396575.0,0.0
2017-08-14,Traditional,33823233500.000004,-24614770.0
2017-08-21,Green,6449100.0,0.0
